observation_id,N_params_B,scale,p_fingerprint,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17
A_A10_A11_30,1.0,1B,1ffcad70734b64dd3b47,0.234,0.015,0.0,0.086,0.287,0.026,0.04,0.0,0.022,0.0,0.0,0.134,0.0,0.0,0.0,0.022,0.134
A_A10_A11_31,1.0,1B,a6290d5ceb1a2b822935,0.0799200799200799,0.1338661338661338,0.0,0.2547452547452547,0.0579420579420579,0.0369630369630369,0.1708291708291708,0.0,0.0149850149850149,0.0,0.0449550449550449,0.1818181818181818,0.0,0.0,0.0,0.0159840159840159,0.0079920079920079
A_A10_A11_32,1.0,1B,a4500f74bfc6f3dc1c38,0.1051051051051051,0.007007007007007,0.0,0.4074074074074074,0.045045045045045,0.054054054054054,0.017017017017017,0.0,0.1261261261261261,0.0,0.009009009009009,0.1671671671671671,0.0,0.007007007007007,0.0,0.047047047047047,0.008008008008008
A_A10_A11_33,1.0,1B,7824f29dbe320224bdf4,0.2952952952952953,0.029029029029029,0.0,0.061061061061061,0.1241241241241241,0.0,0.006006006006006,0.0,0.006006006006006,0.0,0.047047047047047,0.3643643643643643,0.0,0.026026026026026,0.004004004004004,0.0,0.037037037037037
A_A10_A11_34,1.0,1B,d417158aee21b9758e07,0.1421421421421421,0.1221221221221221,0.001001001001001,0.065065065065065,0.0,0.001001001001001,0.006006006006006,0.003003003003003,0.001001001001001,0.0,0.014014014014014,0.6186186186186187,0.001001001001001,0.0,0.0,0.0,0.025025025025025
A_A10_A11_35,1.0,1B,6a2cb686d75862be16dd,0.279,0.01,0.0,0.184,0.0,0.0,0.108,0.0,0.097,0.0,0.039,0.198,0.0,0.0,0.0,0.083,0.002
A_A10_A11_36,1.0,1B,765d592211eefbbb54eb,0.052,0.07,0.253,0.4,0.003,0.0,0.033,0.0,0.019,0.0,0.0,0.031,0.0,0.0,0.018,0.002,0.119
A_A10_A11_37,1.0,1B,87943f951dc48e9565d3,0.251,0.007,0.007,0.331,0.107,0.0,0.13,0.0,0.021,0.0,0.001,0.006,0.12,0.0,0.0,0.005,0.014
A_A10_A11_38,1.0,1B,c9788b5f47d1639ad8a5,0.2394789579158316,0.0871743486973947,0.0,0.2234468937875751,0.0290581162324649,0.0,0.0490981963927855,0.0,0.2024048096192384,0.0,0.0,0.156312625250501,0.0,0.0,0.0,0.0120240480961923,0.001002004008016
A_A10_A11_39,1.0,1B,07aa068f8535705bc97e,0.157,0.062,0.0,0.039,0.096,0.007,0.057,0.0,0.174,0.0,0.015,0.181,0.0,0.089,0.012,0.016,0.095
A_A10_A11_40,1.0,1B,b615919e08960f23f0e3,0.422,0.213,0.0,0.08,0.019,0.001,0.026,0.0,0.003,0.0,0.01,0.026,0.0,0.0,0.0,0.101,0.099
