observation_id,N_params_B,scale,p_fingerprint,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17
A_A12_A13_41,10.0,10B,100c114efec4632a70c1,0.034,0.0,0.002,0.005,0.02,0.011,0.783,0.016,0.001,0.0,0.061,0.022,0.011,0.015,0.001,0.01,0.008
A_A12_A13_42,10.0,10B,964a4d2d7ce84c41d342,0.0059940059940059,0.0009990009990009,0.0009990009990009,0.0259740259740259,0.1088911088911089,0.0119880119880119,0.3756243756243757,0.0,0.0,0.0,0.0299700299700299,0.0009990009990009,0.0,0.1138861138861139,0.1188811188811189,0.0219780219780219,0.1838161838161838
A_A12_A13_43,10.0,10B,1f930367f19b7bbddb96,0.3266733266733266,0.0,0.0329670329670329,0.0,0.1448551448551448,0.0829170829170829,0.0069930069930069,0.0,0.1308691308691308,0.0019980019980019,0.1998001998001997,0.0349650349650349,0.0,0.0189810189810189,0.0039960039960039,0.0,0.0149850149850149
A_A12_A13_44,10.0,10B,1dcf6972e37df327ce74,0.003,0.19,0.0,0.506,0.0,0.051,0.057,0.002,0.14,0.0,0.005,0.004,0.0,0.042,0.0,0.0,0.0
A_A12_A13_45,10.0,10B,775b5abe2163a18cfc59,0.903096903096903,0.0239760239760239,0.0169830169830169,0.0,0.0,0.0019980019980019,0.0,0.0009990009990009,0.0449550449550449,0.0019980019980019,0.0009990009990009,0.0049950049950049,0.0,0.0,0.0,0.0,0.0
A_A12_A13_46,10.0,10B,414d59cd8643bda9091b,0.0079920079920079,0.0219780219780219,0.0,0.3506493506493506,0.2777222777222777,0.0019980019980019,0.0519480519480519,0.0079920079920079,0.0519480519480519,0.0,0.0279720279720279,0.0929070929070929,0.0279720279720279,0.0,0.0409590409590409,0.0379620379620379,0.0
A_A12_A13_47,10.0,10B,844b875e82fb9d95ec26,0.0,0.0,0.0189810189810189,0.0,0.5464535464535464,0.0039960039960039,0.0,0.0009990009990009,0.0,0.0,0.0,0.0,0.0169830169830169,0.0029970029970029,0.0319680319680319,0.0,0.3776223776223776
A_A12_A13_48,10.0,10B,7d3c214719f9b0d3c147,0.118,0.0,0.003,0.204,0.04,0.0,0.0,0.0,0.366,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.266
A_A12_A13_49,10.0,10B,ce7bc03c02a4a9769887,0.708,0.164,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.044
A_A12_A13_50,10.0,10B,1569a4ab62880199d808,0.546,0.018,0.0,0.057,0.13,0.006,0.0,0.014,0.0,0.017,0.0,0.006,0.001,0.0,0.11,0.017,0.078
A_A12_A13_51,10.0,10B,1530dde1fa7c02c1a60f,0.0,0.0,0.0,0.0,0.0,0.0,0.6726726726726727,0.0,0.1301301301301301,0.0,0.0,0.004004004004004,0.0,0.0,0.0,0.1931931931931932,0.0
A_A12_A13_52,10.0,10B,dde402840664e2a57b18,0.064064064064064,0.5815815815815816,0.011011011011011,0.002002002002002,0.0,0.011011011011011,0.0,0.0,0.049049049049049,0.0,0.027027027027027,0.0,0.0,0.0,0.0,0.1491491491491491,0.1051051051051051
A_A12_A13_53,10.0,10B,31316d8d2d43482942dd,0.0,0.6426426426426427,0.001001001001001,0.004004004004004,0.001001001001001,0.002002002002002,0.014014014014014,0.0,0.0,0.0,0.009009009009009,0.0,0.0,0.027027027027027,0.0,0.016016016016016,0.2832832832832833
A_A12_A13_54,10.0,10B,ebdbb2b369cadbb807a2,0.0989010989010989,0.0,0.0,0.0,0.0,0.0029970029970029,0.0069930069930069,0.0,0.0009990009990009,0.0,0.0,0.8271728271728273,0.0,0.0,0.0,0.0,0.0629370629370629
A_A12_A13_55,10.0,10B,e582950c4e976ef79c40,0.108,0.497,0.0,0.0,0.0,0.0,0.0,0.001,0.088,0.002,0.029,0.013,0.0,0.0,0.007,0.255,0.0
A_A12_A13_56,10.0,10B,efc9c6ec1916d4bf4095,0.0528942115768463,0.0089820359281437,0.0199600798403193,0.0089820359281437,0.0,0.0079840319361277,0.0079840319361277,0.0129740518962075,0.0888223552894211,0.0,0.2035928143712574,0.281437125748503,0.0429141716566866,0.0019960079840319,0.0219560878243512,0.0489021956087824,0.1906187624750499
A_A12_A13_57,10.0,10B,0f4b72cf8ae40a59b4a9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388611388611388,0.8591408591408592,0.0,0.0019980019980019,0.0,0.0,0.0
A_A12_A13_58,10.0,10B,066832e6eb6cce0347b5,0.019,0.0,0.0,0.0,0.108,0.0,0.143,0.0,0.0,0.0,0.005,0.725,0.0,0.0,0.0,0.0,0.0
A_A12_A13_59,10.0,10B,b17bfe9888d49f91fcbb,0.2782782782782783,0.0,0.035035035035035,0.5735735735735735,0.0,0.0,0.0,0.0,0.014014014014014,0.0,0.0,0.0,0.0,0.0,0.0,0.0990990990990991,0.0
A_A12_A13_60,10.0,10B,90a095389244afa36580,0.311,0.0,0.0,0.087,0.003,0.0,0.008,0.0,0.382,0.0,0.105,0.0,0.0,0.038,0.0,0.066,0.0
A_A12_A13_61,10.0,10B,a73942a39376afcc3549,0.022022022022022,0.2742742742742743,0.0,0.0,0.003003003003003,0.001001001001001,0.01001001001001,0.0,0.2872872872872872,0.0,0.002002002002002,0.011011011011011,0.0,0.0,0.1091091091091091,0.2802802802802803,0.0
A_A12_A13_62,10.0,10B,38f1e2f5941e6a7ae82e,0.11,0.005,0.0,0.301,0.011,0.003,0.083,0.009,0.219,0.008,0.0,0.001,0.003,0.063,0.0,0.0,0.184
A_A12_A13_63,10.0,10B,15e4bd9c4cdf122c7ff8,0.029,0.034,0.011,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.013,0.068,0.001,0.007,0.0,0.546,0.029
A_A14_A15_1,70.0,70B,3bacb5d55d09cf018958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.209,0.787,0.0,0.0,0.0,0.0,0.0
A_A14_A15_2,70.0,70B,270c49017594eb3c119d,0.0250501002004008,0.002004008016032,0.0501002004008016,0.0,0.0470941883767535,0.0,0.3046092184368737,0.0090180360721442,0.003006012024048,0.001002004008016,0.1032064128256513,0.2995991983967935,0.0240480961923847,0.0400801603206412,0.0901803607214428,0.001002004008016,0.0
A_A14_A15_3,70.0,70B,386c962541c742788c20,0.679,0.0,0.0,0.044,0.0,0.001,0.0,0.003,0.0,0.001,0.0,0.269,0.0,0.0,0.0,0.003,0.0
