observation_id,N_params_B,D_tokens_B,source_file,model_name
supplementary_large_models_76,340.0,3600.0,supplementary_large_models.csv,PaLM 2
supplementary_large_models_77,355.0,23100.0,supplementary_large_models.csv,GLM-4.5
supplementary_large_models_78,357.0,23000.0,supplementary_large_models.csv,GLM-4.6
supplementary_large_models_79,358.0,2057.7,supplementary_large_models.csv,GLM-4.7
supplementary_large_models_80,389.0,7000.0,supplementary_large_models.csv,Hunyuan-Large
supplementary_large_models_81,398.0,555.3,supplementary_large_models.csv,Arcee Trinity Large
supplementary_large_models_82,400.0,30000.0,supplementary_large_models.csv,Llama 4 Maverick
supplementary_large_models_83,405.0,0.3,supplementary_large_models.csv,Hermes 3 405B
supplementary_large_models_84,405.0,15600.0,supplementary_large_models.csv,Llama 3.1-405B
supplementary_large_models_85,456.0,7500.0,supplementary_large_models.csv,MiniMax-M1-80k
supplementary_large_models_86,456.0,7500.0,supplementary_large_models.csv,MiniMax-M1-40k
supplementary_large_models_87,456.0,7200.0,supplementary_large_models.csv,MiniMax-Text-01
supplementary_large_models_88,480.0,7500.0,supplementary_large_models.csv,Qwen3-Coder-480B-A35B
supplementary_large_models_89,480.0,133.1,supplementary_large_models.csv,Arctic
supplementary_large_models_90,500.0,8350.0,supplementary_large_models.csv,Doubao-pro
supplementary_large_models_91,500.0,5.3,supplementary_large_models.csv,Microsoft MAI-1 (2024 unreleased)
supplementary_large_models_92,530.0,300.0,supplementary_large_models.csv,MegaScale (530B)
supplementary_large_models_93,530.0,1226.4,supplementary_large_models.csv,MegaScale (Production)
supplementary_large_models_94,530.0,270.0,supplementary_large_models.csv,Megatron-Turing NLG 530B
supplementary_large_models_95,540.0,1.3,supplementary_large_models.csv,U-PaLM (540B)
supplementary_large_models_96,540.0,0.0,supplementary_large_models.csv,LMSI-Palm
supplementary_large_models_97,540.0,1.4,supplementary_large_models.csv,Flan-PaLM 540B
supplementary_large_models_98,540.4,26.0,supplementary_large_models.csv,Minerva (540B)
supplementary_large_models_99,540.4,780.0,supplementary_large_models.csv,PaLM (540B)
supplementary_large_models_100,560.0,23000.0,supplementary_large_models.csv,LongCat-Flash
supplementary_large_models_101,560.0,16000.0,supplementary_large_models.csv,Hunyuan-TurboS
supplementary_large_models_102,600.0,1835.0,supplementary_large_models.csv,SenseChat 5.0
supplementary_large_models_103,600.0,1000.0,supplementary_large_models.csv,GShard (600B)
supplementary_large_models_104,671.0,943.7,supplementary_large_models.csv,DeepSeek-V3.2-Exp
supplementary_large_models_105,671.0,839.0,supplementary_large_models.csv,DeepSeek-V3.1-Terminus
supplementary_large_models_106,671.0,840.0,supplementary_large_models.csv,DeepSeek-V3.1
supplementary_large_models_107,671.0,14800.0,supplementary_large_models.csv,DeepSeek-R1 (May 2025)
supplementary_large_models_108,671.0,14800.0,supplementary_large_models.csv,DeepSeek-V3 (Mar 2025)
supplementary_large_models_109,671.0,14800.0,supplementary_large_models.csv,DeepSeek-R1
supplementary_large_models_110,671.0,14800.0,supplementary_large_models.csv,DeepSeek-V3
supplementary_large_models_111,718.0,717.0,supplementary_large_models.csv,Pangu Ultra MoE
supplementary_large_models_112,744.0,1532.3,supplementary_large_models.csv,GLM-5
supplementary_large_models_113,1000.0,700.0,supplementary_large_models.csv,Kimi K2 Thinking
supplementary_large_models_114,1000.0,20000.0,supplementary_large_models.csv,Ling-1T
supplementary_large_models_115,1000.0,36000.0,supplementary_large_models.csv,Qwen3-Max
supplementary_large_models_116,1000.0,15500.0,supplementary_large_models.csv,Kimi K2
supplementary_large_models_117,1000.0,0.1,supplementary_large_models.csv,DLRM-2021
supplementary_large_models_118,1002.7,111.8,supplementary_large_models.csv,M6-T
supplementary_large_models_119,1040.0,929.5,supplementary_large_models.csv,Kimi K2.5
supplementary_large_models_120,1085.0,329.0,supplementary_large_models.csv,PanGu-Σ
supplementary_large_models_121,1100.0,112.0,supplementary_large_models.csv,MoE-1.1T
supplementary_large_models_122,1200.0,600.0,supplementary_large_models.csv,GLaM
supplementary_large_models_123,1571.0,576.0,supplementary_large_models.csv,QMoE: compressed SwitchTransformer
supplementary_large_models_124,1571.0,86.4,supplementary_large_models.csv,Switch
supplementary_large_models_125,1750.0,4900.0,supplementary_large_models.csv,Wu Dao 2.0
supplementary_large_models_126,1800.0,5416.7,supplementary_large_models.csv,GPT-4 (Mar 2023)
supplementary_large_models_127,1800.0,5416.7,supplementary_large_models.csv,GPT-4 (Jun 2023)
supplementary_large_models_128,2000.0,30000.0,supplementary_large_models.csv,Llama 4 Behemoth (preview)
supplementary_large_models_129,3000.0,27777.8,supplementary_large_models.csv,Grok 4
supplementary_large_models_130,3000.0,19444.4,supplementary_large_models.csv,Grok 3
supplementary_large_models_131,3000.0,0.1,supplementary_large_models.csv,DLRM-2022
supplementary_large_models_132,10000.0,0.1,supplementary_large_models.csv,M6-10T
